"","Country","Year","GC_Top Marginal Rates"
"557","NOR",1998,0.2
"558","NOR",1999,0.2
"559","NOR",2000,0.2
"560","NOR",2001,0.2
"561","NOR",2002,0.2
"562","NOR",2003,0.2
"563","NOR",2004,0.2
"564","NOR",2005,0.2
"565","NOR",2006,0.2
"566","NOR",2007,0.2
"567","NOR",2008,0.2
"568","NOR",2009,0.1
"569","NOR",2010,0.1
"570","NOR",2011,0.1
"571","NOR",2012,0.1
"572","NOR",2013,0.1
"573","NOR",2014,0
"574","NOR",2015,0
"575","NOR",2016,0
"576","NOR",2017,0
"577","NOR",2018,0
"578","NOR",2019,0
"579","NOR",2020,0
"580","NOR",2021,0
"581","ITA",1964,0.35
"582","ITA",1965,0.35
"583","ITA",1966,0.35
"584","ITA",1967,0.35
"585","ITA",1968,0.35
"586","ITA",1969,0.35
"587","ITA",1970,0.35
"588","ITA",1971,0.35
"589","ITA",1972,0.35
"590","ITA",1973,0.31
"591","ITA",1974,0.31
"592","ITA",1975,0.31
"593","ITA",1976,0.31
"594","ITA",1977,0.31
"595","ITA",1978,0.31
"596","ITA",1979,0.31
"597","ITA",1980,0.31
"598","ITA",1981,0.31
"599","ITA",1982,0.31
"600","ITA",1983,0.31
"601","ITA",1984,0.31
"602","ITA",1985,0.31
"603","ITA",1986,0.31
"604","ITA",1987,0.31
"605","ITA",1988,0.31
"606","ITA",1989,0.31
"607","ITA",1990,0.31
"608","ITA",1991,0.27
"609","ITA",1992,0.27
"610","ITA",1993,0.27
"611","ITA",1994,0.27
"612","ITA",1995,0.27
"613","ITA",1996,0.27
"614","ITA",1997,0.27
"615","ITA",1998,0.27
"616","ITA",1999,0.27
"617","ITA",2000,0.04
"618","ITA",2001,0.04
"619","ITA",2002,0
"620","ITA",2003,0
"621","ITA",2004,0
"622","ITA",2005,0
"623","ITA",2006,0
"624","ITA",2007,0.04
"625","ITA",2008,0.04
"626","ITA",2009,0.04
"627","ITA",2010,0.04
"628","ITA",2011,0.04
"629","ITA",2012,0.04
"630","ITA",2013,0.04
"631","ITA",2014,0.04
"632","ITA",2015,0.04
"633","ITA",2016,0.04
"634","ITA",2017,0.04
"635","ITA",2018,0.04
"636","ITA",2019,0.04
"637","ITA",2020,0.04
"638","ITA",2021,0.04
"639","BEL",1967,0.17
"640","BEL",1968,0.17
"641","BEL",1969,0.17
"642","BEL",1970,0.17
"643","BEL",1971,0.17
"644","BEL",1972,0.17
"645","BEL",1973,0.17
"646","BEL",1974,0.17
"647","BEL",1975,0.17
"648","BEL",1976,0.17
"649","BEL",1977,0.17
"650","BEL",1978,0.25
"651","BEL",1979,0.25
"652","BEL",1980,0.25
"653","BEL",1981,0.3
"654","BEL",1982,0.3
"655","BEL",1983,0.3
"656","BEL",1984,0.3
"657","BEL",1985,0.3
"658","BEL",1986,0.3
"659","BEL",1987,0.3
"660","BEL",1988,0.3
"661","BEL",1989,0.3
"662","BEL",1990,0.3
"663","BEL",1991,0.3
"664","BEL",1992,0.3
"665","BEL",1993,0.3
"666","BEL",1994,0.3
"667","BEL",1995,0.3
"668","BEL",1996,0.3
"669","BEL",1997,0.3
"670","BEL",1998,0.3
"671","BEL",1999,0.3
"672","BEL",2000,0.3
"673","BEL",2001,0.3
"674","BEL",2002,0.3
"675","BEL",2003,0.3
"676","BEL",2004,0.3
"677","BEL",2005,0.3
"678","BEL",2006,0.3
"679","BEL",2007,0.3
"680","BEL",2008,0.3
"681","BEL",2009,0.3
"682","BEL",2010,0.3
"683","NZL",1964,0.4
"684","NZL",1965,0.4
"685","NZL",1966,0.4
"686","NZL",1967,0.4
"687","NZL",1968,0.4
"688","NZL",1969,0.4
"689","NZL",1970,0.4
"690","NZL",1971,0.4
"691","NZL",1972,0.4
"692","NZL",1973,0.4
