"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"205","AFW",1972,NA,184.916098293275,25.2694563585288
"206","AFW",1973,NA,192.724244710554,31.8411468818575
"207","AFW",1974,NA,212.463767291747,44.2153283558688
"208","AFW",1975,NA,207.837578388332,51.4453096264799
"209","AFW",1976,NA,225.612671160098,62.1299854100664
"210","AFW",1977,NA,236.311039802207,65.3160345407121
"211","AFW",1978,NA,231.137600945103,71.2005268453747
"212","AFW",1979,NA,243.186008225803,88.6293336357157
"213","AFW",1980,NA,248.166276590065,112.032331232328
"214","AFW",1981,NA,230.866237292733,211.005911802917
"215","AFW",1982,NA,223.073616649932,187.165406370026
"216","AFW",1983,NA,208.437592541027,138.116898441305
"217","AFW",1984,NA,209.613321440136,114.263904328182
"218","AFW",1985,NA,221.255841207026,116.508527443662
"219","AFW",1986,NA,224.363849346901,107.507001440375
"220","AFW",1987,NA,227.633109888094,110.281682790499
"221","AFW",1988,NA,238.714357067493,108.944735237174
"222","AFW",1989,NA,244.147384877285,101.770140749657
"223","AFW",1990,NA,260.20304230999,121.803568895987
"224","AFW",1991,NA,263.090712306183,127.939039832689
"225","AFW",1992,NA,270.167691805232,122.575953686486
"226","AFW",1993,NA,266.909155707725,127.980941949696
"227","AFW",1994,NA,266.184619429116,133.143476720137
"228","AFW",1995,NA,271.326235188779,205.687093879591
"229","AFW",1996,NA,283.915131480457,261.262106172312
"230","AFW",1997,NA,296.004665915479,274.376968923496
"231","AFW",1998,NA,306.31078202029,294.949797405741
"232","AFW",1999,NA,310.661081272224,137.292485423693
"233","AFW",2000,NA,322.253240468176,140.132777859081
"234","AFW",2001,NA,339.021746527332,147.524718751249
"235","AFW",2002,NA,372.646875632923,176.588559103843
"236","AFW",2003,NA,393.275021278206,204.455023741489
"237","AFW",2004,NA,424.723469728919,253.453654650339
"238","AFW",2005,NA,449.463362683927,310.070743908926
"239","AFW",2006,NA,473.620059915228,396.077046021055
"240","AFW",2007,NA,499.784319285629,465.627259599126
"241","AFW",2008,NA,531.168734058989,567.853448132047
"242","AFW",2009,NA,564.548018702176,508.492534468294
"243","AFW",2010,NA,603.892965530374,598.607469639526
"244","AFW",2011,NA,633.174611213834,682.176065823115
"245","AFW",2012,NA,665.697426270634,737.739503299735
"246","AFW",2013,NA,706.35165312161,834.097010134991
"247","AFW",2014,4.35626084714829,748.211927951894,894.505003403491
"248","AFW",2015,NA,769.263195356949,769.263195356949
"249","AFW",2016,NA,770.356255503577,692.114931613254
"250","AFW",2017,6.99194301375748,787.968675888969,685.630289666515
"251","AFW",2018,NA,810.337757614177,768.158194632397
"252","AFW",2019,NA,836.276010162181,823.405580187913
"253","AFW",2020,NA,828.430388804133,786.962436538391
"254","AFW",2021,NA,861.371411041672,844.927536437833
"255","AFW",2022,NA,893.813706710345,875.393693658084
"256","AFW",NA,NA,NA,NA
"257","AGO",1960,NA,NA,NA
"258","AGO",1961,NA,NA,NA
"259","AGO",1962,NA,NA,NA
"260","AGO",1963,NA,NA,NA
"261","AGO",1964,NA,NA,NA
"262","AGO",1965,NA,NA,NA
"263","AGO",1966,NA,NA,NA
"264","AGO",1967,NA,NA,NA
"265","AGO",1968,NA,NA,NA
"266","AGO",1969,NA,NA,NA
"267","AGO",1970,NA,NA,NA
"268","AGO",1971,NA,NA,NA
"269","AGO",1972,NA,NA,NA
"270","AGO",1973,NA,NA,NA
"271","AGO",1974,NA,NA,NA
"272","AGO",1975,NA,NA,NA
"273","AGO",1976,NA,NA,NA
"274","AGO",1977,NA,NA,NA
"275","AGO",1978,NA,NA,NA
"276","AGO",1979,NA,NA,NA
"277","AGO",1980,NA,23.0632621046048,5.93407360367893
"278","AGO",1981,NA,22.0484782909416,5.5538244638796
"279","AGO",1982,NA,22.0484782909416,5.5538244638796
"280","AGO",1983,NA,22.974514694132,5.78782380869565
"281","AGO",1984,14.2,24.3529860731989,6.1351662541806
"282","AGO",1985,14.9,25.2053404615817,7.55861300802675
"283","AGO",1986,18.9,25.9362957741627,7.07679382274247
"284","AGO",1987,NA,26.9952095358797,8.08927928461538
