"","Country","Country_Name","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","v2peedueq","v2x_corr","v2x_libdem","Unemployment_rate","GDP_constant_billions","GDP_current_billions","welfare_regime"
"72","BEL","Belgium",1999,37.93,31.464,0,4.661,1.047,0.075,0.884,25.946,0,44.239,0.673190806464172,0.0755,0.5273,0.1794,3.35,0.021,0.815,8.649,352.605970422851,258.245733221468,"Cons"
"73","BEL","Belgium",2012,34.642,32.17,0.005,7.386,2.862,0.192,1.594,25.771,0.027,44.331,0.663338553347486,0.0775,0.5103,0.1668,3.35,0.021,0.835,7.542,444.005978083203,496.152879924727,"Cons"
"74","BEL","Belgium",2021,35.704,30.634,0.002,8.425,2.924,0.482,1.715,25.236,0,42.518,0.673916168408802,0.0699,0.5235,0.1505,2.559,0.021,0.82,6.264,501.246968574726,600.748812601541,"Cons"
"75","BEL","Belgium",2018,36.819,30.271,0.004,7.853,2.82,0.472,1.585,25.054,0,43.824,0.673245905181243,0.0701,0.5225,0.149,2.559,0.021,0.83,5.948,484.30503958875,543.299066998902,"Cons"
"76","BEL","Belgium",2015,35.644,31.917,0.005,7.838,2.955,0.359,1.63,24.576,0.021,44.115,0.667971599316697,0.0747,0.5163,0.1635,2.559,0.021,0.832,8.482,462.335574841484,462.335574841484,"Cons"
"77","BEL","Belgium",2007,35.802,31.107,0.004,7.154,2.811,0.171,1.392,25.892,0.041,42.92,0.674449831012957,0.0753,0.5293,0.1817,3.35,0.021,0.824,7.459,428.111873071133,470.922156309453,"Cons"
"78","BEL","Belgium",2016,35.533,31.143,0.004,8.026,3.027,0.567,1.573,25.293,0,43.288,0.669659062314796,0.0726,0.5178,0.1554,2.559,0.021,0.832,7.83,468.19191673207,476.062757356927,"Cons"
"79","BEL","Belgium",2010,34.191,32.44,0.004,7.226,2.975,0.152,1.457,26.116,0.023,42.882,0.672735673281377,0.0756,0.5264,0.1795,3.35,0.021,0.831,8.293,433.403805754258,481.420882905001,"Cons"
"80","BEL","Belgium",2020,35.586,31.964,0.002,8.035,3.117,0.506,1.526,24.414,0,42.266,0.673318013244884,0.07,0.5227,0.1489,2.559,0.021,0.818,5.555,469.108374379726,526.264230147394,"Cons"
"81","BEL","Belgium",2002,38.715,31.672,0,4.49,1.073,0.086,0.977,25.069,0.054,43.913,0.672076281505523,0.0757,0.5254,0.1778,3.35,0.021,0.819,6.91,376.043542626992,258.383599375177,"Cons"
"82","CAN","Canada",2013,47.583,15.264,2.108,11.896,9.755,0.07,0.037,23.032,0.118,31.132,0.734473896510877,0.0451,0.5807,0.2449,1.807,0.026,0.739,7.143,1503.26157065963,1846.59742183498,"Liberal"
"83","CAN","Canada",2010,46.644,14.864,2.083,12.338,10.008,0.295,0.034,23.956,0.115,31.007,0.733528042591274,0.0455,0.5794,0.2434,2.203,0.037,0.757,8.178,1399.83050874717,1617.34336748626,"Liberal"
"84","CAN","Canada",1996,47.15,14.002,2.174,10.525,8.781,1.059,0,24.968,1.181,34.941,0.728677494874233,0.0462,0.5712,0.2332,2.098,0.043,0.758,9.62,971.253698607852,630.607994132747,"Liberal"
"85","CAN","Canada",1997,48.847,13.312,2.052,10.254,8.429,1.075,0.001,24.431,1.104,35.791,0.729732603047907,0.0459,0.5729,0.2349,2.203,0.043,0.759,9.101,1012.82497756698,654.986999855554,"Liberal"
