"","Year","Wealth_Gini","Country"
"277",2019,0.722642367781759,"BIH"
"278",2020,0.722642367781759,"BIH"
"279",2021,0.722642367781759,"BIH"
"280",2022,0.723053823580244,"BIH"
"281",1995,0.741576410483304,"BGD"
"282",1996,0.741523260414283,"BGD"
"283",1997,0.740695382225411,"BGD"
"284",1998,0.74055428088765,"BGD"
"285",1999,0.740218384596901,"BGD"
"286",2000,0.740196350880908,"BGD"
"287",2001,0.740371961819449,"BGD"
"288",2002,0.74096123249582,"BGD"
"289",2003,0.741611991579205,"BGD"
"290",2004,0.741539171830865,"BGD"
"291",2005,0.742390847894058,"BGD"
"292",2006,0.74096123249582,"BGD"
"293",2007,0.740042481058467,"BGD"
"294",2008,0.739239740069095,"BGD"
"295",2009,0.738040178545404,"BGD"
"296",2010,0.737299030760568,"BGD"
"297",2011,0.737084589823482,"BGD"
"298",2012,0.737084589823482,"BGD"
"299",2013,0.73703208026042,"BGD"
"300",2014,0.736982521047068,"BGD"
"301",2015,0.736930315685086,"BGD"
"302",2016,0.736826595844406,"BGD"
"303",2017,0.736817270714965,"BGD"
"304",2018,0.736843450407406,"BGD"
"305",2019,0.736869772841047,"BGD"
"306",2020,0.736869772841047,"BGD"
"307",2021,0.736904691225746,"BGD"
"308",2022,0.737462848206178,"BGD"
"309",1995,0.672550187001903,"BEL"
"310",1996,0.672758205267325,"BEL"
"311",1997,0.672857219588527,"BEL"
"312",1998,0.672642369751362,"BEL"
"313",1999,0.673190806464172,"BEL"
"314",2000,0.672653915368299,"BEL"
"315",2001,0.672519744410852,"BEL"
"316",2002,0.672076281505523,"BEL"
"317",2003,0.672060268282301,"BEL"
"318",2004,0.672554202657228,"BEL"
"319",2005,0.672435639128134,"BEL"
"320",2006,0.673444145546927,"BEL"
"321",2007,0.674449831012957,"BEL"
"322",2008,0.673088028605804,"BEL"
"323",2009,0.672226191939647,"BEL"
"324",2010,0.672735673281377,"BEL"
"325",2011,0.672441674710875,"BEL"
"326",2012,0.663338553347486,"BEL"
"327",2013,0.659165657556535,"BEL"
"328",2014,0.663271955387771,"BEL"
"329",2015,0.667971599316697,"BEL"
"330",2016,0.669659062314796,"BEL"
"331",2017,0.672242360804198,"BEL"
"332",2018,0.673245905181243,"BEL"
"333",2019,0.673808850449042,"BEL"
"334",2020,0.673318013244884,"BEL"
"335",2021,0.673916168408802,"BEL"
"336",2022,0.67387860618927,"BEL"
"337",1995,0.893206404366282,"BFA"
"338",1996,0.898913749755621,"BFA"
"339",1997,0.904412513080075,"BFA"
"340",1998,0.908083547563734,"BFA"
"341",1999,0.898727242671299,"BFA"
"342",2000,0.885248220815754,"BFA"
"343",2001,0.864236051000148,"BFA"
"344",2002,0.835998320708001,"BFA"
"345",2003,0.794401633134555,"BFA"
"346",2004,0.791788189212298,"BFA"
"347",2005,0.78937100417275,"BFA"
"348",2006,0.785019695039239,"BFA"
"349",2007,0.782486943183898,"BFA"
"350",2008,0.780042123495889,"BFA"
"351",2009,0.778561612344788,"BFA"
"352",2010,0.77114100191605,"BFA"
"353",2011,0.762062523877347,"BFA"
"354",2012,0.756408960982867,"BFA"
"355",2013,0.752623894090078,"BFA"
"356",2014,0.749681529938158,"BFA"
"357",2015,0.749590892684097,"BFA"
"358",2016,0.749756022241542,"BFA"
"359",2017,0.749756022241542,"BFA"
"360",2018,0.749614625316013,"BFA"
"361",2019,0.749614625316013,"BFA"
"362",2020,0.749614625316013,"BFA"
"363",2021,0.749681529938158,"BFA"
"364",2022,0.750252384034781,"BFA"
"365",1995,0.730686248108739,"BGR"
"366",1996,0.728612756875677,"BGR"
"367",1997,0.727131817375849,"BGR"
"368",1998,0.724853364446943,"BGR"
"369",1999,0.722826640712597,"BGR"
"370",2000,0.722128836764284,"BGR"
"371",2001,0.723305534275553,"BGR"
"372",2002,0.728270918559033,"BGR"
"373",2003,0.727344994286113,"BGR"
"374",2004,0.727238869399415,"BGR"
"375",2005,0.72704692430149,"BGR"
"376",2006,0.726025416268271,"BGR"
"377",2007,0.724064896408535,"BGR"
"378",2008,0.72311916246845,"BGR"
"379",2009,0.725515995880386,"BGR"
"380",2010,0.725454088154351,"BGR"
"381",2011,0.725515995880386,"BGR"
"382",2012,0.727844996713259,"BGR"
"383",2013,0.726254416092146,"BGR"
"384",2014,0.728450634754822,"BGR"
"385",2015,0.729924790890777,"BGR"
"386",2016,0.732874891070423,"BGR"
"387",2017,0.73756170245295,"BGR"
"388",2018,0.738583793708031,"BGR"
"389",2019,0.738174634063213,"BGR"
"390",2020,0.738200773160074,"BGR"
"391",2021,0.738200773160074,"BGR"
"392",2022,0.741162390407027,"BGR"
"393",1995,0.840684273777697,"BHR"
"394",1996,0.839438249281784,"BHR"
"395",1997,0.797997339297211,"BHR"
"396",1998,0.79794786662714,"BHR"
"397",1999,0.797869128529783,"BHR"
"398",2000,0.797839584392193,"BHR"
"399",2001,0.797821301977081,"BHR"
"400",2002,0.797801222622098,"BHR"
"401",2003,0.797782705216378,"BHR"
"402",2004,0.797694068452984,"BHR"
"403",2005,0.797660097065091,"BHR"
"404",2006,0.797610433130529,"BHR"
"405",2007,0.797525310600832,"BHR"
"406",2008,0.797525310600832,"BHR"
"407",2009,0.797367709835697,"BHR"
"408",2010,0.797337028839564,"BHR"
"409",2011,0.797304321693304,"BHR"
"410",2012,0.797304321693304,"BHR"
"411",2013,0.797247560623731,"BHR"
"412",2014,0.796988885998445,"BHR"
"413",2015,0.796506589086619,"BHR"
"414",2016,0.796506589086619,"BHR"
"415",2017,0.796788775505746,"BHR"
"416",2018,0.796788775505746,"BHR"
"417",2019,0.796808576690353,"BHR"
"418",2020,0.796808576690353,"BHR"
"419",2021,0.796911217984132,"BHR"
"420",2022,0.797808991762821,"BHR"
"421",1995,0.748013362576188,"BDI"
"422",1996,0.7539315743565,"BDI"
"423",1997,0.767005902134571,"BDI"
"424",1998,0.782659484388546,"BDI"
"425",1999,0.776336057203991,"BDI"
"426",2000,0.766497315819066,"BDI"
"427",2001,0.756645949460022,"BDI"
"428",2002,0.752908973938787,"BDI"
"429",2003,0.74912770795342,"BDI"
"430",2004,0.747043898019911,"BDI"
"431",2005,0.744522547248408,"BDI"
"432",2006,0.742677590199349,"BDI"
"433",2007,0.7442650060446,"BDI"
"434",2008,0.746007523547007,"BDI"
"435",2009,0.747289927777786,"BDI"
"436",2010,0.748860455510112,"BDI"
"437",2011,0.750936385794205,"BDI"
"438",2012,0.753870957675701,"BDI"
"439",2013,0.75633166702994,"BDI"
"440",2014,0.75633166702994,"BDI"
"441",2015,0.756355129509075,"BDI"
"442",2016,0.756355129509075,"BDI"
"443",2017,0.756355129509075,"BDI"
"444",2018,0.756369765137265,"BDI"
"445",2019,0.756394054976454,"BDI"
"446",2020,0.756394054976454,"BDI"
"447",2021,0.756394054976454,"BDI"
"448",2022,0.757027295203784,"BDI"
"449",1995,0.760536684867276,"BEN"
"450",1996,0.760576591099948,"BEN"
"451",1997,0.760549742228818,"BEN"
"452",1998,0.760731527382035,"BEN"
"453",1999,0.760731527382035,"BEN"
"454",2000,0.760731527382035,"BEN"
"455",2001,0.760549742228818,"BEN"
"456",2002,0.760552793142324,"BEN"
"457",2003,0.760576591099948,"BEN"
"458",2004,0.767005902134571,"BEN"
"459",2005,0.773840496010678,"BEN"
